rank,pid,k,envs,n,win_rate,pf,boot_p50,boot_p5,boot_p95,mc_prob,mdd,sym_floor,fold_floor,avg_overlap,avg_corr,exp_r,score,verdict
1,E06+E11,2,"E06,E11",253,0.4901,1.6014,1.6033,1.3052,1.9941,1.0,-0.0531,1.5077,1.3585,0.0,-0.0234,0.4704,7,PROMOTE
2,E06+E08,2,"E06,E08",296,0.4932,1.5958,1.5955,1.3019,1.942,0.9995,-0.0766,1.4724,1.3764,0.0,-0.0241,0.4797,7,PROMOTE
3,E06+E07,2,"E06,E07",260,0.4885,1.5909,1.6052,1.316,1.9467,1.0,-0.0531,1.4998,1.3059,0.0,-0.0226,0.4654,7,PROMOTE
4,E05+E06+E08,3,"E05,E06,E08",446,0.4865,1.5398,1.5428,1.3155,1.8157,1.0,-0.0587,1.4496,1.3311,0.0,-0.0166,0.4596,7,PROMOTE
5,E05+E06+E11,3,"E05,E06,E11",403,0.4839,1.5371,1.5369,1.3029,1.8155,1.0,-0.0456,1.4689,1.3271,0.0,-0.0171,0.4516,7,PROMOTE
6,E06+E07+E11,3,"E06,E07,E11",271,0.4797,1.5353,1.5341,1.2623,1.8573,1.0,-0.0531,1.4484,1.2846,28.52,0.3093,0.4391,7,PROMOTE
7,E05+E06+E07,3,"E05,E06,E07",410,0.4829,1.5318,1.5265,1.3004,1.7912,1.0,-0.0456,1.4648,1.3075,0.0,-0.0168,0.4488,7,PROMOTE
8,E06+E08+E16,3,"E06,E08,E16",347,0.4784,1.511,1.5079,1.2538,1.8042,1.0,-0.0766,1.4045,1.3938,23.1,0.2757,0.4352,7,PROMOTE
9,E06+E09,2,"E06,E09",291,0.4742,1.5038,1.5006,1.2384,1.8111,1.0,-0.0805,1.4162,1.4349,0.0,-0.0043,0.4227,7,PROMOTE
10,E06+E08+E10,3,"E06,E08,E10",481,0.4802,1.5017,1.5083,1.3061,1.7518,1.0,-0.0766,1.4292,1.2806,0.26,-0.0021,0.4407,7,PROMOTE
11,E05+E06+E07+E11,4,"E05,E06,E07,E11",421,0.4774,1.4987,1.4946,1.2742,1.7574,1.0,-0.0456,1.4331,1.279,14.26,0.1479,0.4323,7,PROMOTE
12,E06+E10+E11,3,"E06,E10,E11",438,0.4772,1.4954,1.499,1.2888,1.7507,0.9995,-0.0942,1.4448,1.2716,0.26,-0.0035,0.4315,7,PROMOTE
13,E05+E08,2,"E05,E08",376,0.4787,1.4941,1.4985,1.2637,1.7767,1.0,-0.0636,1.4128,1.2997,0.0,-0.0103,0.4362,7,PROMOTE
14,E06+E07+E10,3,"E06,E07,E10",445,0.4764,1.4913,1.4883,1.2769,1.7346,1.0,-0.0696,1.4414,1.2549,0.26,-0.0037,0.4292,7,PROMOTE
15,E05+E06+E08+E16,4,"E05,E06,E08,E16",497,0.4769,1.4877,1.4862,1.2737,1.7202,1.0,-0.0587,1.405,1.3074,11.55,0.1323,0.4306,7,PROMOTE
16,E05+E11,2,"E05,E11",333,0.4745,1.4849,1.4935,1.2382,1.7927,1.0,-0.0476,1.4307,1.2905,0.0,-0.0126,0.4234,7,PROMOTE
17,E05+E06+E09,3,"E05,E06,E09",441,0.4739,1.48,1.4851,1.2641,1.7397,1.0,-0.0617,1.4237,1.3067,0.0,-0.0098,0.4218,7,PROMOTE
